City,X,Y
1,51,23
2,92,31
3,14,46
4,71,85
5,60,22
6,20,65
7,82,26
8,86,1
9,74,89
10,74,16
11,87,32
12,99,8
13,23,42
14,2,47
15,21,38
16,52,92
17,1,41
18,87,25
19,29,98
20,37,49
21,1,24
22,63,23
23,59,12
24,20,59
25,32,6
26,75,56
27,57,35
28,21,44
29,88,19
30,48,64
31,90,7
32,58,15
33,41,13
34,91,75
35,59,86
36,79,14
37,14,91
38,61,97
39,61,65
40,46,31
41,61,86
42,50,62
43,54,85
44,63,50
45,2,24
46,100,57
47,50,62
48,6,61
49,20,21
50,72,57
51,38,57
52,17,85
53,3,48
54,88,51
55,59,41
56,13,69
57,8,14
58,89,53
59,52,59
60,1,100
61,83,96
62,91,7
63,59,52
64,70,59
65,43,4
66,7,67
67,46,5
68,34,95
69,77,93
70,80,46
71,35,98
72,49,54
73,3,39
74,1,51
75,5,15
76,53,12
77,3,29
78,53,18
79,92,16
80,62,62
81,17,18
82,89,91
83,43,57
84,33,54
85,73,89
86,61,100
87,99,89
88,13,61
89,94,22
90,47,8
91,14,11
92,71,0
93,77,57
94,86,0
95,61,33
96,39,95
97,84,47
98,79,88
99,81,0
100,52,15
101,23,60
102,25,63
103,88,62
104,59,68
105,40,21
106,28,92
107,14,66
108,44,75
109,64,25
110,88,15
111,70,50
112,8,100
113,87,85
114,0,56
115,7,28
116,87,77
117,62,91
118,10,68
119,80,46
120,7,93
121,34,61
122,34,68
123,32,75
124,4,15
125,40,89
126,27,89
127,6,47
128,72,84
129,71,38
130,11,99
131,33,32
132,32,93
133,47,100
134,22,22
135,61,9
136,87,68
137,36,99
138,98,33
139,43,51
140,85,94
141,90,9
142,34,18
143,64,57
144,98,95
145,100,0
146,46,68
147,77,3
148,2,15
149,0,23
150,4,79
151,89,1
152,13,91
153,26,31
154,8,90
155,78,83
156,14,23
157,89,11
158,41,49
159,76,34
160,50,32
161,62,32
162,95,60
163,51,50
164,95,42
165,3,100
166,93,11
167,100,66
168,22,64
169,14,32
170,42,39
171,28,73
172,35,42
173,12,43
174,31,28
175,70,12
176,58,11
177,85,94
178,27,45
179,65,1
180,41,34
181,44,86
182,61,80
183,56,89
184,5,7
185,27,92
186,27,25
187,43,73
188,83,89
189,29,33
190,61,6
191,74,67
192,91,57
193,88,74
194,61,28
195,96,35
196,0,88
197,26,20
198,61,35
199,76,9
200,2,100
201,69,72
202,71,23
203,26,63
204,8,98
205,61,48
206,36,98
207,96,35
208,50,81
209,43,95
210,23,23
211,78,22
212,58,61
213,31,95
214,95,36
215,87,11
216,51,54
217,61,12
218,57,22
219,51,88
220,11,98
221,38,29
222,1,16
223,2,61
224,100,83
225,55,88
226,80,85
227,58,12
228,1,58
229,1,18
230,91,48
231,53,99
232,86,11
233,100,60
234,95,18
235,96,75
236,0,8
237,18,70
238,1,27
239,52,77
240,43,94
241,89,51
242,31,82
243,69,15
244,31,68
245,67,98
246,54,11
247,74,24
248,55,51
249,16,84
250,37,99
251,23,52
252,68,22
253,97,15
254,69,56
255,85,38
256,10,52
257,15,41
258,96,57
259,72,38
260,58,13
261,69,94
262,79,4
263,92,34
264,2,86
265,19,92
266,58,74
267,35,17
268,18,75
269,89,8
270,66,73
271,18,57
272,19,16
273,95,6
274,70,45
275,51,12
276,32,39
277,39,41
278,38,8
279,81,49
280,0,26
281,10,65
282,91,4
283,56,28
284,88,36
285,49,37
286,22,82
287,30,7
288,93,64
289,41,85
290,98,16
291,6,70
292,15,88
293,89,44
294,59,3
295,1,35
296,0,69
297,47,30
298,11,18
299,68,60
300,36,53
301,31,38
302,8,90
303,98,73
304,18,89
305,47,18
306,79,38
307,2,66
308,19,44
309,23,12
310,53,91
311,32,57
312,23,19
313,74,91
314,71,71
315,35,60
316,37,38
317,83,0
318,98,2
319,88,76
320,98,91
321,24,61
322,92,62
323,17,24
324,81,55
325,65,32
326,53,37
327,34,5
328,79,57
329,60,43
330,40,44
331,99,31
332,32,44
333,67,60
334,32,46
335,13,20
336,20,79
337,47,84
338,19,74
339,7,100
340,6,35
341,66,98
342,16,18
343,32,19
344,47,56
345,75,17
346,58,46
347,85,48
348,21,13
349,29,14
350,37,30
351,50,0
352,53,53
353,7,2
354,26,15
355,26,86
356,97,56
357,20,74
358,29,11
359,96,73
360,27,95
361,63,15
362,96,71
363,68,75
364,60,23
365,47,27
366,18,7
367,3,91
368,34,35
369,63,89
370,48,7
371,16,57
372,43,59
373,91,49
374,29,27
375,92,91
376,45,100
377,5,40
378,98,99
379,36,63
380,23,26
381,92,62
382,45,16
383,52,72
384,94,32
385,98,83
386,59,76
387,96,91
388,62,28
389,84,12
390,31,45
391,86,34
392,32,5
393,66,81
394,17,68
395,24,46
396,94,24
397,53,65
398,57,9
399,66,55
400,45,29
